country,un.name.es,yml
Afghanistan,Afganistán,Afghanistan: Afganistán
Albania,Albania,Albania: Albania
Algeria,Argelia,Algeria: Argelia
Angola,Angola,Angola: Angola
Argentina,Argentina,Argentina: Argentina
Australia,Australia,Australia: Australia
Austria,Austria,Austria: Austria
Bahrain,Bahrein,Bahrain: Bahrein
Bangladesh,Bangladesh,Bangladesh: Bangladesh
Belgium,Bélgica,Belgium: Bélgica
Benin,Benin,Benin: Benin
Bolivia,Bolivia (Estado Plurinacional de),Bolivia: Bolivia (Estado Plurinacional de)
Bosnia and Herzegovina,Bosnia y Herzegovina,Bosnia and Herzegovina: Bosnia y Herzegovina
Botswana,Botswana,Botswana: Botswana
Brazil,Brasil,Brazil: Brasil
Bulgaria,Bulgaria,Bulgaria: Bulgaria
Burkina Faso,Burkina Faso,Burkina Faso: Burkina Faso
Burundi,Burundi,Burundi: Burundi
Cambodia,Camboya,Cambodia: Camboya
Cameroon,Camerún,Cameroon: Camerún
Canada,Canadá,Canada: Canadá
Central African Republic,República Centroafricana,Central African Republic: República Centroafricana
Chad,Chad,Chad: Chad
Chile,Chile,Chile: Chile
China,China,China: China
Colombia,Colombia,Colombia: Colombia
Comoros,Comoras,Comoros: Comoras
"Congo, Dem. Rep.",República Democrática del Congo,"Congo, Dem. Rep.: República Democrática del Congo"
"Congo, Rep.",Congo,"Congo, Rep.: Congo"
Costa Rica,Costa Rica,Costa Rica: Costa Rica
Cote d'Ivoire,Costa de Marfil,Cote d'Ivoire: Costa de Marfil
Croatia,Croacia,Croatia: Croacia
Cuba,Cuba,Cuba: Cuba
Czech Republic,República Checa,Czech Republic: República Checa
Denmark,Dinamarca,Denmark: Dinamarca
Djibouti,Djibouti,Djibouti: Djibouti
Dominican Republic,República Dominicana,Dominican Republic: República Dominicana
Ecuador,Ecuador,Ecuador: Ecuador
Egypt,Egipto,Egypt: Egipto
El Salvador,El Salvador,El Salvador: El Salvador
Equatorial Guinea,Guinea Ecuatorial,Equatorial Guinea: Guinea Ecuatorial
Eritrea,Eritrea,Eritrea: Eritrea
Ethiopia,Etiopía,Ethiopia: Etiopía
Finland,Finlandia,Finland: Finlandia
France,Francia,France: Francia
Gabon,Gabón,Gabon: Gabón
Gambia,Gambia (República de),Gambia: Gambia (República de)
Germany,Alemania,Germany: Alemania
Ghana,Ghana,Ghana: Ghana
Greece,Grecia,Greece: Grecia
Guatemala,Guatemala,Guatemala: Guatemala
Guinea-Bissau,Guinea Bissau,Guinea-Bissau: Guinea Bissau
Guinea,Guinea,Guinea: Guinea
Haiti,Haití,Haiti: Haití
Honduras,Honduras,Honduras: Honduras
"Hong Kong, China",Hong Kong (Región Administrativa Especial de la República Popular China),"Hong Kong, China: Hong Kong (Región Administrativa Especial de la República Popular China)"
Hungary,Hungría,Hungary: Hungría
Iceland,Islandia,Iceland: Islandia
India,India,India: India
Indonesia,Indonesia,Indonesia: Indonesia
Iran,Irán (República Islámica de),Iran: Irán (República Islámica de)
Iraq,Iraq,Iraq: Iraq
Ireland,Irlanda,Ireland: Irlanda
Israel,Israel,Israel: Israel
Italy,Italia,Italy: Italia
Jamaica,Jamaica,Jamaica: Jamaica
Japan,Japón,Japan: Japón
Jordan,Jordania,Jordan: Jordania
Kenya,Kenya,Kenya: Kenya
"Korea, Dem. Rep.",República Popular Democrática de Corea,"Korea, Dem. Rep.: República Popular Democrática de Corea"
"Korea, Rep.",República de Corea,"Korea, Rep.: República de Corea"
Kuwait,Kuwait,Kuwait: Kuwait
Lebanon,Líbano,Lebanon: Líbano
Lesotho,Lesotho,Lesotho: Lesotho
Liberia,Liberia,Liberia: Liberia
Libya,Libia,Libya: Libia
Madagascar,Madagascar,Madagascar: Madagascar
Malawi,Malawi,Malawi: Malawi
Malaysia,Malasia,Malaysia: Malasia
Mali,Malí,Mali: Malí
Mauritania,Mauritania,Mauritania: Mauritania
Mauritius,Mauricio,Mauritius: Mauricio
Mexico,México,Mexico: México
Mongolia,Mongolia,Mongolia: Mongolia
Montenegro,Montenegro,Montenegro: Montenegro
Morocco,Marruecos,Morocco: Marruecos
Mozambique,Mozambique,Mozambique: Mozambique
Myanmar,Myanmar,Myanmar: Myanmar
Namibia,Namibia,Namibia: Namibia
Nepal,Nepal,Nepal: Nepal
Netherlands,Países Bajos,Netherlands: Países Bajos
New Zealand,Nueva Zelandia,New Zealand: Nueva Zelandia
Nicaragua,Nicaragua,Nicaragua: Nicaragua
Niger,Niger,Niger: Niger
Nigeria,Nigeria,Nigeria: Nigeria
Norway,Noruega,Norway: Noruega
Oman,Omán,Oman: Omán
Pakistan,Pakistán,Pakistan: Pakistán
Panama,Panamá,Panama: Panamá
Paraguay,Paraguay,Paraguay: Paraguay
Peru,Perú,Peru: Perú
Philippines,Filipinas,Philippines: Filipinas
Poland,Polonia,Poland: Polonia
Portugal,Portugal,Portugal: Portugal
Puerto Rico,Puerto Rico,Puerto Rico: Puerto Rico
Reunion,Isla Reunión y Guyana Francesa (dependientes de Francia),Reunion: Isla Reunión y Guyana Francesa (dependientes de Francia)
Romania,Rumania,Romania: Rumania
Rwanda,Rwanda,Rwanda: Rwanda
Sao Tome and Principe,Santo Tomé y Príncipe,Sao Tome and Principe: Santo Tomé y Príncipe
Saudi Arabia,Arabia Saudita,Saudi Arabia: Arabia Saudita
Senegal,Senegal,Senegal: Senegal
Serbia,Serbia,Serbia: Serbia
Sierra Leone,Sierra Leona,Sierra Leone: Sierra Leona
Singapore,Singapur,Singapore: Singapur
Slovak Republic,Eslovaquia,Slovak Republic: Eslovaquia
Slovenia,Eslovenia ,Slovenia: Eslovenia 
Somalia,Somalia,Somalia: Somalia
South Africa,Sudáfrica,South Africa: Sudáfrica
Spain,España,Spain: España
Sri Lanka,Sri Lanka,Sri Lanka: Sri Lanka
Sudan,Sudán,Sudan: Sudán
Swaziland,Swazilandia,Swaziland: Swazilandia
Sweden,Suecia,Sweden: Suecia
Switzerland,Suiza,Switzerland: Suiza
Syria,República Árabe Siria,Syria: República Árabe Siria
Taiwan,Taiwán (Provincia de la República Popular China),Taiwan: Taiwán (Provincia de la República Popular China)
Tanzania,República Unida de Tanzanía,Tanzania: República Unida de Tanzanía
Thailand,Tailandia,Thailand: Tailandia
Togo,Togo,Togo: Togo
Trinidad and Tobago,Trinidad y Tobago,Trinidad and Tobago: Trinidad y Tobago
Tunisia,Túnez,Tunisia: Túnez
Turkey,Turquía,Turkey: Turquía
Uganda,Uganda,Uganda: Uganda
United Kingdom,Reino Unido,United Kingdom: Reino Unido
United States,Estados Unidos de América,United States: Estados Unidos de América
Uruguay,Uruguay,Uruguay: Uruguay
Venezuela,Venezuela (República Bolivariana de),Venezuela: Venezuela (República Bolivariana de)
Vietnam,Vietnam,Vietnam: Vietnam
West Bank and Gaza,Territorios Palestinos,West Bank and Gaza: Territorios Palestinos
"Yemen, Rep.",Yemen,"Yemen, Rep.: Yemen"
Zambia,Zambia,Zambia: Zambia
Zimbabwe,Zimbabwe,Zimbabwe: Zimbabwe
